id,team1Id,team2Id,matchDate,matchTime,category,scoreTeam1,scoreTeam2,status,game,round,venue,winner,createdOn,updatedOn
116,Leo,Virgo,2025-03-13,3:00 PM,Chess (Men),,,Scheduled,3,3,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
117,Libra,Taurus,2025-03-13,3:00 PM,Chess (Men),,,Scheduled,4,3,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
118,Virgo,Libra,2025-03-13,3:00 PM,Chess (Women),,,Scheduled,1,3,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
119,Pisces,Leo,2025-03-13,3:00 PM,Chess (Women),,,Scheduled,2,3,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
120,Sagittarius,Scorpio,2025-03-13,3:00 PM,Chess (Women),,,Scheduled,3,3,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
121,Capricorn,Taurus,2025-03-13,3:00 PM,Chess (Women),,,Scheduled,4,3,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
122,Sagittarius,Taurus,2025-03-13,4:00 PM,Chess (Men),,,Scheduled,1,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
123,Virgo,Libra,2025-03-13,4:00 PM,Chess (Men),,,Scheduled,2,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
124,Pisces,Leo,2025-03-13,4:00 PM,Chess (Men),,,Scheduled,3,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
125,Scorpio,Capricorn,2025-03-13,4:00 PM,Chess (Men),,,Scheduled,4,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
126,Libra,Taurus,2025-03-13,4:00 PM,Chess (Women),,,Scheduled,1,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
127,Scorpio,Capricorn,2025-03-13,4:00 PM,Chess (Women),,,Scheduled,2,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
128,Leo,Sagittarius,2025-03-13,4:00 PM,Chess (Women),,,Scheduled,3,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
129,Virgo,Pisces,2025-03-13,4:00 PM,Chess (Women),,,Scheduled,4,4,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
130,Capricorn,Sagittarius,2025-03-14,1:00 PM,Chess (Men),,,Scheduled,1,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
131,Leo,Scorpio,2025-03-14,1:00 PM,Chess (Men),,,Scheduled,2,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
132,Libra,Pisces,2025-03-14,1:00 PM,Chess (Men),,,Scheduled,3,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
133,Taurus,Virgo,2025-03-14,1:00 PM,Chess (Men),,,Scheduled,4,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
134,Pisces,Libra,2025-03-14,1:00 PM,Chess (Women),,,Scheduled,1,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
135,Sagittarius,Virgo,2025-03-14,1:00 PM,Chess (Women),,,Scheduled,2,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
136,Capricorn,Leo,2025-03-14,1:00 PM,Chess (Women),,,Scheduled,3,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
137,Taurus,Scorpio,2025-03-14,1:00 PM,Chess (Women),,,Scheduled,4,5,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
138,Sagittarius,Virgo,2025-03-14,2:00 PM,Chess (Men),,,Scheduled,1,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
139,Pisces,Taurus,2025-03-14,2:00 PM,Chess (Men),,,Scheduled,2,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
140,Scorpio,Libra,2025-03-14,2:00 PM,Chess (Men),,,Scheduled,3,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
141,Capricorn,Leo,2025-03-14,2:00 PM,Chess (Men),,,Scheduled,4,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
142,Libra,Scorpio,2025-03-14,2:00 PM,Chess (Women),,,Scheduled,1,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
143,Leo,Taurus,2025-03-14,2:00 PM,Chess (Women),,,Scheduled,2,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
144,Virgo,Capricorn,2025-03-14,2:00 PM,Chess (Women),,,Scheduled,3,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
145,Pisces,Sagittarius,2025-03-14,2:00 PM,Chess (Women),,,Scheduled,4,6,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
146,Leo,Sagittarius,2025-03-14,3:00 PM,Chess (Men),,,Scheduled,1,7,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
147,Libra,Capricorn,2025-03-14,3:00 PM,Chess (Men),,,Scheduled,2,7,ME ROOM,,2025-03-12T12:34:56.789Z,2025-03-12T12:34:56.789Z
